===============================================================================
Id,AAPL,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
18,AAPL,18,2014-01-28 23:59:59.999989,65.07,65.87,64.22,64.78,297523962.0,0.0,64.783195,SmaCross,18,735261.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,AAPL,19,2014-01-29 23:59:59.999989,64.46,64.89,63.78,64.05,140398684.0,0.0,64.047737,SmaCross,19,735262.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,AAPL,20,2014-01-30 23:59:59.999989,64.28,64.78,63.53,63.92,189456710.0,0.0,63.923672,SmaCross,20,735263.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,AAPL,21,2014-01-31 23:59:59.999989,63.34,64.15,63.13,64.03,129784412.0,0.0,64.028564,SmaCross,21,735264.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,AAPL,22,2014-02-03 23:59:59.999989,64.29,64.94,63.86,64.15,112100010.0,0.0,64.147514,SmaCross,22,735267.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,AAPL,23,2014-02-04 23:59:59.999989,64.7,65.16,64.3,65.08,105179960.0,0.0,65.076096,SmaCross,23,735268.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,AAPL,24,2014-02-05 23:59:59.999989,64.79,65.91,64.75,65.56,91683093.0,0.0,65.562119,SmaCross,24,735269.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,AAPL,25,2014-02-06 23:59:59.999989,65.63,66.07,65.34,65.94,71547011.0,0.0,65.944275,SmaCross,25,735270.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,AAPL,26,2014-02-07 23:59:59.999989,67.09,67.29,66.57,66.87,102777455.0,0.0,66.866844,SmaCross,26,735271.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,AAPL,27,2014-02-10 23:59:59.999989,66.74,68.45,66.65,68.06,95915717.0,0.0,68.064728,SmaCross,27,735274.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
