===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
20,AMZN,20,2014-01-30 23:59:59.999989,393.77,406.25,387.7,403.01,10473900.0,0.0,403.01001,SmaCross,20,735263.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,AMZN,21,2014-01-31 23:59:59.999989,371.76,375.45,357.76,358.69,16154800.0,0.0,358.690002,SmaCross,21,735264.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,AMZN,22,2014-02-03 23:59:59.999989,358.98,360.85,340.1,346.15,10280800.0,0.0,346.149994,SmaCross,22,735267.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,AMZN,23,2014-02-04 23:59:59.999989,349.59,354.0,344.02,347.95,4812900.0,0.0,347.950012,SmaCross,23,735268.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,AMZN,24,2014-02-05 23:59:59.999989,346.0,349.37,337.73,346.45,4435400.0,0.0,346.450012,SmaCross,24,735269.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,AMZN,25,2014-02-06 23:59:59.999989,347.4,354.82,347.4,354.59,3335700.0,0.0,354.589996,SmaCross,25,735270.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,AMZN,26,2014-02-07 23:59:59.999989,358.98,361.8,352.49,361.08,4330500.0,0.0,361.079987,SmaCross,26,735271.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,AMZN,27,2014-02-10 23:59:59.999989,361.61,365.0,359.35,360.87,3449700.0,0.0,360.869995,SmaCross,27,735274.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,AMZN,28,2014-02-11 23:59:59.999989,361.84,363.61,356.25,361.79,3222100.0,0.0,361.790009,SmaCross,28,735275.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,AMZN,29,2014-02-12 23:59:59.999989,356.43,357.75,346.32,349.25,6587700.0,0.0,349.25,SmaCross,29,735276.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,AMZN,30,2014-02-13 23:59:59.999989,347.7,357.2,346.5,357.2,4175000.0,0.0,357.200012,SmaCross,30,735277.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,AMZN,31,2014-02-14 23:59:59.999989,359.34,359.34,353.35,357.35,3520200.0,0.0,357.350006,SmaCross,31,735278.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,AMZN,32,2014-02-18 23:59:59.999989,355.28,355.73,349.45,353.65,4998000.0,0.0,353.649994,SmaCross,32,735282.9999999999,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,AMZN,33,2014-02-19 23:59:59.999989,352.64,354.54,346.1,347.38,4168100.0,0.0,347.380005,SmaCross,33,735283.9999999999,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,AMZN,34,2014-02-20 23:59:59.999989,348.8,350.46,344.38,349.8,3492800.0,0.0,349.799988,SmaCross,34,735284.9999999999,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,AMZN,35,2014-02-21 23:59:59.999989,352.44,354.14,346.75,346.76,4210000.0,0.0,346.76001,SmaCross,35,735285.9999999999,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,AMZN,36,2014-02-24 23:59:59.999989,345.19,353.0,343.29,351.78,3644700.0,0.0,351.779999,SmaCross,36,735288.9999999999,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,AMZN,37,2014-02-25 23:59:59.999989,353.0,361.08,351.58,358.32,3736400.0,0.0,358.320007,SmaCross,37,735289.9999999999,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,AMZN,38,2014-02-26 23:59:59.999989,359.86,364.75,357.17,359.8,3622100.0,0.0,359.799988,SmaCross,38,735290.9999999999,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,AMZN,39,2014-02-27 23:59:59.999989,357.22,360.59,355.5,360.13,3104900.0,0.0,360.130005,SmaCross,39,735291.9999999999,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,AMZN,40,2014-02-28 23:59:59.999989,360.6,365.87,357.08,362.1,3882000.0,0.0,362.100006,SmaCross,40,735292.9999999999,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,AMZN,41,2014-03-03 23:59:59.999989,358.74,360.96,354.48,359.78,2798300.0,0.0,359.779999,SmaCross,41,735295.9999999999,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,AMZN,42,2014-03-04 23:59:59.999989,363.9,365.68,362.46,363.9,2704400.0,0.0,363.899994,SmaCross,42,735296.9999999999,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,AMZN,43,2014-03-05 23:59:59.999989,364.13,372.73,363.9,372.37,3848300.0,0.0,372.369995,SmaCross,43,735297.9999999999,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,AMZN,44,2014-03-06 23:59:59.999989,374.05,375.33,368.9,372.16,2926600.0,0.0,372.160004,SmaCross,44,735298.9999999999,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,AMZN,45,2014-03-07 23:59:59.999989,374.58,374.99,369.53,372.06,2279800.0,0.0,372.059998,SmaCross,45,735299.9999999999,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,AMZN,46,2014-03-10 23:59:59.999989,372.69,372.73,367.0,370.53,2105800.0,0.0,370.529999,SmaCross,46,735302.9999999999,Broker,46,9627.31,9997.84,BuySell,46,361.495,,Trades - Net Profit/Loss,46,,
47,AMZN,47,2014-03-11 23:59:59.999989,370.99,372.8,367.28,368.82,2246100.0,0.0,368.820007,SmaCross,47,735303.9999999999,Broker,47,9627.31,9996.13,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,AMZN,48,2014-03-12 23:59:59.999989,366.4,371.16,363.61,370.64,2216600.0,0.0,370.640015,SmaCross,48,735304.9999999999,Broker,48,9627.31,9997.949999999999,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,AMZN,49,2014-03-13 23:59:59.999989,376.62,383.11,368.08,371.51,6829000.0,0.0,371.51001,SmaCross,49,735305.9999999999,Broker,49,9627.31,9998.82,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,AMZN,50,2014-03-14 23:59:59.999989,372.8,378.57,371.55,373.74,4402200.0,0.0,373.73999,SmaCross,50,735306.9999999999,Broker,50,9627.31,10001.05,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,AMZN,51,2014-03-17 23:59:59.999989,375.72,378.85,374.88,375.04,2303000.0,0.0,375.040009,SmaCross,51,735309.9999999999,Broker,51,9627.31,10002.35,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,AMZN,52,2014-03-18 23:59:59.999989,377.32,379.0,375.0,378.77,2483500.0,0.0,378.769989,SmaCross,52,735310.9999999999,Broker,52,9627.31,10006.08,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,AMZN,53,2014-03-19 23:59:59.999989,378.77,379.0,369.42,373.23,2646700.0,0.0,373.230011,SmaCross,53,735311.9999999999,Broker,53,9627.31,10000.539999999999,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,AMZN,54,2014-03-20 23:59:59.999989,370.64,373.0,366.22,368.97,2558500.0,0.0,368.970001,SmaCross,54,735312.9999999999,Broker,54,9627.31,9996.279999999999,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,AMZN,55,2014-03-21 23:59:59.999989,371.0,372.84,358.4,360.62,5414100.0,0.0,360.619995,SmaCross,55,735313.9999999999,Broker,55,9627.31,9987.93,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,AMZN,56,2014-03-24 23:59:59.999989,360.09,361.5,348.6,351.85,4873500.0,0.0,351.850006,SmaCross,56,735316.9999999999,Broker,56,9627.31,9979.16,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,AMZN,57,2014-03-25 23:59:59.999989,354.03,358.97,348.84,354.71,4445700.0,0.0,354.709991,SmaCross,57,735317.9999999999,Broker,57,9627.31,9982.019999999999,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,AMZN,58,2014-03-26 23:59:59.999989,357.13,357.6,343.4,343.41,4120700.0,0.0,343.410004,SmaCross,58,735318.9999999999,Broker,58,9627.31,9970.72,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,AMZN,59,2014-03-27 23:59:59.999989,343.15,344.0,330.88,338.47,5766400.0,0.0,338.470001,SmaCross,59,735319.9999999999,Broker,59,9627.31,9965.779999999999,BuySell,59,,,Trades - Net Profit/Loss,59,,
